judge,run,fixture,metric,judge_pass,score,error,err_msg
qwen3-5-2b,run1,correct_but_padded,Completeness,1.0,1.0,False,
qwen3-5-2b,run1,correct_but_padded,Informativeness,1.0,0.8,False,
qwen3-5-2b,run1,deep_multi_entity_reasoning,Faithfulness,1.0,0.7692307692307693,False,
qwen3-5-2b,run1,deep_multi_entity_reasoning,AnswerRelevancy,1.0,0.8125,False,
qwen3-5-2b,run1,deep_multi_entity_reasoning,ContextualRelevancy,0.0,0.6666666666666666,False,
qwen3-5-2b,run1,deep_multi_entity_reasoning,Completeness,1.0,1.0,False,
qwen3-5-2b,run1,deep_multi_entity_reasoning,Informativeness,1.0,1.0,False,
qwen3-5-2b,run1,correct_wrong_language,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run1,correct_wrong_language,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,correct_wrong_language,ContextualRelevancy,0.0,0.0,False,
qwen3-5-2b,run1,correct_wrong_language,Completeness,1.0,1.0,False,
qwen3-5-2b,run1,correct_wrong_language,Informativeness,1.0,1.0,False,
qwen3-5-2b,run1,refusal_answer,Faithfulness,0.0,0.0,False,
qwen3-5-2b,run1,refusal_answer,AnswerRelevancy,0.0,0.0,False,
qwen3-5-2b,run1,refusal_answer,ContextualRelevancy,0.0,0.5,False,
qwen3-5-2b,run1,refusal_answer,Completeness,0.0,0.0,False,
qwen3-5-2b,run1,refusal_answer,Informativeness,1.0,0.9,False,
qwen3-5-2b,run1,complex_technical_comparison,Faithfulness,0.0,0.6363636363636364,False,
qwen3-5-2b,run1,complex_technical_comparison,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,complex_technical_comparison,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,complex_technical_comparison,Completeness,1.0,0.9,False,
qwen3-5-2b,run1,complex_technical_comparison,Informativeness,1.0,0.95,False,
qwen3-5-2b,run1,nuanced_ambiguous,Faithfulness,0.0,0.5,False,
qwen3-5-2b,run1,nuanced_ambiguous,AnswerRelevancy,0.0,0.5,False,
qwen3-5-2b,run1,nuanced_ambiguous,ContextualRelevancy,0.0,0.0,False,
qwen3-5-2b,run1,nuanced_ambiguous,Completeness,0.0,0.6,False,
qwen3-5-2b,run1,nuanced_ambiguous,Informativeness,0.0,0.0,False,
qwen3-5-2b,run1,unfaithful_extrapolation,Faithfulness,0.0,0.6666666666666666,False,
qwen3-5-2b,run1,unfaithful_extrapolation,AnswerRelevancy,1.0,0.75,False,
qwen3-5-2b,run1,unfaithful_extrapolation,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,unfaithful_extrapolation,Completeness,1.0,1.0,False,
qwen3-5-2b,run1,unfaithful_extrapolation,Informativeness,1.0,1.0,False,
qwen3-5-2b,run1,vague_answer,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run1,vague_answer,AnswerRelevancy,1.0,0.75,False,
qwen3-5-2b,run1,vague_answer,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,vague_answer,Completeness,0.0,0.5,False,
qwen3-5-2b,run1,vague_answer,Informativeness,0.0,0.4,False,
qwen3-5-2b,run1,subtle_restatement_different_framing,Faithfulness,0.0,0.0,False,
qwen3-5-2b,run1,subtle_restatement_different_framing,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,subtle_restatement_different_framing,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,subtle_restatement_different_framing,Completeness,1.0,1.0,False,
qwen3-5-2b,run1,subtle_restatement_different_framing,Informativeness,1.0,0.85,False,
qwen3-5-2b,run1,math_notation_heavy,Faithfulness,0.0,0.6666666666666666,False,
qwen3-5-2b,run1,math_notation_heavy,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,math_notation_heavy,ContextualRelevancy,1.0,0.8,False,
qwen3-5-2b,run1,math_notation_heavy,Completeness,1.0,1.0,False,
qwen3-5-2b,run1,math_notation_heavy,Informativeness,1.0,1.0,False,
qwen3-5-2b,run1,prompt_injection_leak,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run1,prompt_injection_leak,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,prompt_injection_leak,ContextualRelevancy,0.0,0.6666666666666666,False,
qwen3-5-2b,run1,prompt_injection_leak,Completeness,1.0,1.0,False,
qwen3-5-2b,run1,prompt_injection_leak,Informativeness,0.0,0.0,False,
qwen3-5-2b,run1,empty_output,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run1,empty_output,AnswerRelevancy,0.0,0.0,False,
qwen3-5-2b,run1,empty_output,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,empty_output,Completeness,0.0,0.0,False,
qwen3-5-2b,run1,empty_output,Informativeness,1.0,1.0,False,
qwen3-5-2b,run1,hallucinated_source,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run1,hallucinated_source,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,hallucinated_source,ContextualRelevancy,0.0,0.6666666666666666,False,
qwen3-5-2b,run1,hallucinated_source,Completeness,1.0,0.8,False,
qwen3-5-2b,run1,hallucinated_source,Informativeness,1.0,0.9,False,
qwen3-5-2b,run1,partial_answer,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run1,partial_answer,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,partial_answer,ContextualRelevancy,1.0,0.75,False,
qwen3-5-2b,run1,partial_answer,Completeness,1.0,1.0,False,
qwen3-5-2b,run1,partial_answer,Informativeness,0.0,0.6,False,
qwen3-5-2b,run1,fabricated_statistics,Faithfulness,0.0,0.3333333333333333,False,
qwen3-5-2b,run1,fabricated_statistics,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,fabricated_statistics,ContextualRelevancy,0.0,0.0,False,
qwen3-5-2b,run1,fabricated_statistics,Completeness,0.0,0.65,False,
qwen3-5-2b,run1,fabricated_statistics,Informativeness,1.0,0.9,False,
qwen3-5-2b,run2,off_topic_answer,Faithfulness,0.0,0.0,False,
qwen3-5-2b,run2,off_topic_answer,AnswerRelevancy,0.0,0.0,False,
qwen3-5-2b,run2,off_topic_answer,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,off_topic_answer,Completeness,0.0,0.0,False,
qwen3-5-2b,run2,off_topic_answer,Informativeness,0.0,0.0,False,
qwen3-5-2b,run2,minimal_context_good_answer,Faithfulness,1.0,0.75,False,
qwen3-5-2b,run2,minimal_context_good_answer,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,minimal_context_good_answer,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,minimal_context_good_answer,Completeness,1.0,1.0,False,
qwen3-5-2b,run2,minimal_context_good_answer,Informativeness,1.0,0.9,False,
qwen3-5-2b,run2,contradicts_context,Faithfulness,0.0,0.0,False,
qwen3-5-2b,run2,contradicts_context,AnswerRelevancy,0.0,0.0,False,
qwen3-5-2b,run2,contradicts_context,ContextualRelevancy,0.0,0.6666666666666666,False,
qwen3-5-2b,run2,contradicts_context,Completeness,0.0,0.0,False,
qwen3-5-2b,run2,contradicts_context,Informativeness,1.0,0.9,False,
qwen3-5-2b,run2,not_valid_sample,Faithfulness,0.0,0.0,False,
qwen3-5-2b,run2,not_valid_sample,AnswerRelevancy,0.0,0.0,False,
qwen3-5-2b,run2,not_valid_sample,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,not_valid_sample,Completeness,0.0,0.0,False,
qwen3-5-2b,run2,not_valid_sample,Informativeness,0.0,0.3,False,
qwen3-5-2b,run2,near_correct_rounding,Faithfulness,0.0,0.0,False,
qwen3-5-2b,run2,near_correct_rounding,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,near_correct_rounding,ContextualRelevancy,0.0,0.0,False,
qwen3-5-2b,run2,near_correct_rounding,Completeness,1.0,1.0,False,
qwen3-5-2b,run2,near_correct_rounding,Informativeness,1.0,0.95,False,
qwen3-5-2b,run2,valid_technical_sample,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run2,valid_technical_sample,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,valid_technical_sample,ContextualRelevancy,1.0,0.8,False,
qwen3-5-2b,run2,valid_technical_sample,Completeness,1.0,1.0,False,
qwen3-5-2b,run2,valid_technical_sample,Informativeness,1.0,1.0,False,
qwen3-5-2b,run2,mixed_correct_and_wrong,Faithfulness,0.0,0.42857142857142855,False,
qwen3-5-2b,run2,mixed_correct_and_wrong,AnswerRelevancy,0.0,0.6666666666666666,False,
qwen3-5-2b,run2,mixed_correct_and_wrong,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,mixed_correct_and_wrong,Completeness,0.0,0.0,False,
qwen3-5-2b,run2,mixed_correct_and_wrong,Informativeness,1.0,0.9,False,
qwen3-5-2b,run2,perfect_paraphrase,Faithfulness,0.0,0.5,False,
qwen3-5-2b,run2,perfect_paraphrase,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,perfect_paraphrase,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,perfect_paraphrase,Completeness,1.0,1.0,False,
qwen3-5-2b,run2,perfect_paraphrase,Informativeness,1.0,1.0,False,
qwen3-5-2b,run2,valid_sample,Faithfulness,0.0,0.5,False,
qwen3-5-2b,run2,valid_sample,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,valid_sample,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,valid_sample,Completeness,1.0,1.0,False,
qwen3-5-2b,run2,valid_sample,Informativeness,1.0,1.0,False,
qwen3-5-2b,run2,sample,Faithfulness,0.0,0.6666666666666666,False,
qwen3-5-2b,run2,sample,AnswerRelevancy,0.0,0.5,False,
qwen3-5-2b,run2,sample,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,sample,Completeness,1.0,1.0,False,
qwen3-5-2b,run2,sample,Informativeness,1.0,1.0,False,
qwen3-5-2b,run2,correct_with_extras_beyond_context,Faithfulness,0.0,0.5714285714285714,False,
qwen3-5-2b,run2,correct_with_extras_beyond_context,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,correct_with_extras_beyond_context,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,correct_with_extras_beyond_context,Completeness,1.0,0.85,False,
qwen3-5-2b,run2,correct_with_extras_beyond_context,Informativeness,1.0,1.0,False,
qwen3-5-2b,run2,irrelevant_context,Faithfulness,0.0,0.6666666666666666,False,
qwen3-5-2b,run2,irrelevant_context,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,irrelevant_context,ContextualRelevancy,0.0,0.0,False,
qwen3-5-2b,run2,irrelevant_context,Completeness,1.0,0.8,False,
qwen3-5-2b,run2,irrelevant_context,Informativeness,0.0,0.6,False,
qwen3-5-2b,run2,correct_but_padded,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run2,correct_but_padded,AnswerRelevancy,0.0,0.6666666666666666,False,
qwen3-5-2b,run2,correct_but_padded,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,correct_but_padded,Completeness,1.0,1.0,False,
qwen3-5-2b,run2,correct_but_padded,Informativeness,1.0,0.7,False,
qwen3-5-2b,run2,deep_multi_entity_reasoning,Faithfulness,1.0,0.7647058823529411,False,
qwen3-5-2b,run2,deep_multi_entity_reasoning,AnswerRelevancy,1.0,0.8,False,
qwen3-5-2b,run2,deep_multi_entity_reasoning,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,deep_multi_entity_reasoning,Completeness,1.0,0.9,False,
qwen3-5-2b,run2,deep_multi_entity_reasoning,Informativeness,1.0,0.9,False,
qwen3-5-2b,run2,correct_wrong_language,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run2,correct_wrong_language,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,correct_wrong_language,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,correct_wrong_language,Completeness,1.0,1.0,False,
qwen3-5-2b,run2,correct_wrong_language,Informativeness,1.0,1.0,False,
qwen3-5-2b,run2,refusal_answer,Faithfulness,0.0,0.6666666666666666,False,
qwen3-5-2b,run2,refusal_answer,AnswerRelevancy,0.0,0.0,False,
qwen3-5-2b,run2,refusal_answer,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,refusal_answer,Completeness,0.0,0.0,False,
qwen3-5-2b,run2,refusal_answer,Informativeness,0.0,0.0,False,
qwen3-5-2b,run2,complex_technical_comparison,Faithfulness,1.0,0.8,False,
qwen3-5-2b,run2,complex_technical_comparison,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,complex_technical_comparison,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,complex_technical_comparison,Completeness,0.0,0.5,False,
qwen3-5-2b,run2,complex_technical_comparison,Informativeness,1.0,1.0,False,
qwen3-5-2b,run2,nuanced_ambiguous,Faithfulness,0.0,0.25,False,
qwen3-5-2b,run2,nuanced_ambiguous,AnswerRelevancy,1.0,0.75,False,
qwen3-5-2b,run2,nuanced_ambiguous,ContextualRelevancy,0.0,0.6666666666666666,False,
qwen3-5-2b,run2,nuanced_ambiguous,Completeness,1.0,0.75,False,
qwen3-5-2b,run2,nuanced_ambiguous,Informativeness,1.0,0.9,False,
qwen3-5-2b,run2,unfaithful_extrapolation,Faithfulness,0.0,0.6666666666666666,False,
qwen3-5-2b,run2,unfaithful_extrapolation,AnswerRelevancy,1.0,0.8,False,
qwen3-5-2b,run2,unfaithful_extrapolation,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,unfaithful_extrapolation,Completeness,1.0,1.0,False,
qwen3-5-2b,run2,unfaithful_extrapolation,Informativeness,1.0,1.0,False,
qwen3-5-2b,run2,vague_answer,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run2,vague_answer,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,vague_answer,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,vague_answer,Completeness,0.0,0.5,False,
qwen3-5-2b,run2,vague_answer,Informativeness,0.0,0.3,False,
qwen3-5-2b,run2,subtle_restatement_different_framing,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run2,subtle_restatement_different_framing,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,subtle_restatement_different_framing,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,subtle_restatement_different_framing,Completeness,1.0,1.0,False,
qwen3-5-2b,run2,subtle_restatement_different_framing,Informativeness,1.0,1.0,False,
qwen3-5-2b,run2,math_notation_heavy,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run2,math_notation_heavy,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,math_notation_heavy,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,math_notation_heavy,Completeness,1.0,1.0,False,
qwen3-5-2b,run2,math_notation_heavy,Informativeness,1.0,1.0,False,
qwen3-5-2b,run2,prompt_injection_leak,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run2,prompt_injection_leak,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,prompt_injection_leak,ContextualRelevancy,0.0,0.6666666666666666,False,
qwen3-5-2b,run2,prompt_injection_leak,Completeness,0.0,0.3,False,
qwen3-5-2b,run2,prompt_injection_leak,Informativeness,0.0,0.0,False,
qwen3-5-2b,run2,empty_output,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run2,empty_output,AnswerRelevancy,0.0,0.0,False,
qwen3-5-2b,run2,empty_output,ContextualRelevancy,0.0,0.5,False,
qwen3-5-2b,run2,empty_output,Completeness,0.0,0.0,False,
qwen3-5-2b,run2,empty_output,Informativeness,0.0,0.0,False,
qwen3-5-2b,run2,hallucinated_source,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run2,hallucinated_source,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,hallucinated_source,ContextualRelevancy,0.0,0.6666666666666666,False,
qwen3-5-2b,run2,hallucinated_source,Completeness,1.0,1.0,False,
qwen3-5-2b,run2,hallucinated_source,Informativeness,1.0,1.0,False,
qwen3-5-2b,run2,partial_answer,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run2,partial_answer,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,partial_answer,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,partial_answer,Completeness,0.0,0.65,False,
qwen3-5-2b,run2,partial_answer,Informativeness,1.0,0.9,False,
qwen3-5-2b,run2,fabricated_statistics,Faithfulness,0.0,0.5,False,
qwen3-5-2b,run2,fabricated_statistics,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,fabricated_statistics,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run2,fabricated_statistics,Completeness,1.0,1.0,False,
qwen3-5-2b,run2,fabricated_statistics,Informativeness,1.0,1.0,False,
qwen3-5-2b,run3,off_topic_answer,Faithfulness,0.0,0.25,False,
qwen3-5-2b,run3,off_topic_answer,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run3,off_topic_answer,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run3,off_topic_answer,Completeness,0.0,0.1,False,
qwen3-5-2b,run3,off_topic_answer,Informativeness,1.0,0.8,False,
qwen3-5-2b,run3,minimal_context_good_answer,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run3,minimal_context_good_answer,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run3,minimal_context_good_answer,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run3,minimal_context_good_answer,Completeness,1.0,1.0,False,
qwen3-5-2b,run3,minimal_context_good_answer,Informativeness,1.0,1.0,False,
qwen3-5-2b,run3,contradicts_context,Faithfulness,0.0,0.3333333333333333,False,
qwen3-5-2b,run3,contradicts_context,AnswerRelevancy,0.0,0.5,False,
qwen3-5-2b,run3,contradicts_context,ContextualRelevancy,0.0,0.6666666666666666,False,
qwen3-5-2b,run3,contradicts_context,Completeness,0.0,0.0,False,
qwen3-5-2b,run3,contradicts_context,Informativeness,0.0,0.5,False,
qwen3-5-2b,run3,not_valid_sample,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run3,not_valid_sample,AnswerRelevancy,0.0,0.0,False,
qwen3-5-2b,run3,not_valid_sample,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run3,not_valid_sample,Completeness,0.0,0.0,False,
qwen3-5-2b,run3,not_valid_sample,Informativeness,0.0,0.0,False,
qwen3-5-2b,run3,near_correct_rounding,Faithfulness,0.0,0.0,False,
qwen3-5-2b,run3,near_correct_rounding,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run3,near_correct_rounding,ContextualRelevancy,0.0,0.0,False,
qwen3-5-2b,run3,near_correct_rounding,Completeness,1.0,1.0,False,
qwen3-5-2b,run3,near_correct_rounding,Informativeness,1.0,1.0,False,
qwen3-5-2b,run3,valid_technical_sample,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run3,valid_technical_sample,AnswerRelevancy,0.0,0.625,False,
qwen3-5-2b,run3,valid_technical_sample,ContextualRelevancy,0.0,0.5,False,
qwen3-5-2b,run3,valid_technical_sample,Completeness,1.0,1.0,False,
qwen3-5-2b,run3,valid_technical_sample,Informativeness,1.0,1.0,False,
qwen3-5-2b,run3,mixed_correct_and_wrong,Faithfulness,0.0,0.6666666666666666,False,
qwen3-5-2b,run3,mixed_correct_and_wrong,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run3,mixed_correct_and_wrong,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run3,mixed_correct_and_wrong,Completeness,1.0,0.7,False,
qwen3-5-2b,run3,mixed_correct_and_wrong,Informativeness,0.0,0.3,False,
qwen3-5-2b,run3,perfect_paraphrase,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run3,perfect_paraphrase,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run3,perfect_paraphrase,ContextualRelevancy,0.0,0.5,False,
qwen3-5-2b,run3,perfect_paraphrase,Completeness,1.0,1.0,False,
qwen3-5-2b,run3,perfect_paraphrase,Informativeness,1.0,1.0,False,
qwen3-5-2b,run3,valid_sample,Faithfulness,0.0,0.0,False,
qwen3-5-2b,run3,valid_sample,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run3,valid_sample,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run3,valid_sample,Completeness,1.0,1.0,False,
qwen3-5-2b,run3,valid_sample,Informativeness,1.0,1.0,False,
qwen3-5-2b,run3,sample,Faithfulness,1.0,0.7142857142857143,False,
qwen3-5-2b,run3,sample,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run3,sample,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run3,sample,Completeness,0.0,0.4,False,
qwen3-5-2b,run3,sample,Informativeness,1.0,1.0,False,
qwen3-5-2b,run3,correct_with_extras_beyond_context,Faithfulness,,,True,"ValidationError: 1 validation error for Verdicts
  Invalid JSON: expected value at line 1 column 1 [type=json_invalid, input_value='```json\n{\n    ""verdict.... The claim says \"
qwen3-5-2b,run3,correct_with_extras_beyond_context,AnswerRelevancy,,,True,"ValidationError: 1 validation error for Verdicts
  Invalid JSON: expected value at line 1 column 1 [type=json_invalid, input_value='```json\n{\n    ""verdict.... The claim says \"
qwen3-5-2b,run3,correct_with_extras_beyond_context,ContextualRelevancy,,,True,"ValidationError: 1 validation error for Verdicts
  Invalid JSON: expected value at line 1 column 1 [type=json_invalid, input_value='```json\n{\n    ""verdict.... The claim says \"
qwen3-5-2b,run3,correct_with_extras_beyond_context,Completeness,,,True,"ValidationError: 1 validation error for Verdicts
  Invalid JSON: expected value at line 1 column 1 [type=json_invalid, input_value='```json\n{\n    ""verdict.... The claim says \"
qwen3-5-2b,run3,correct_with_extras_beyond_context,Informativeness,,,True,"ValidationError: 1 validation error for Verdicts
  Invalid JSON: expected value at line 1 column 1 [type=json_invalid, input_value='```json\n{\n    ""verdict.... The claim says \"
qwen3-5-2b,run3,irrelevant_context,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run3,irrelevant_context,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run3,irrelevant_context,ContextualRelevancy,0.0,0.0,False,
qwen3-5-2b,run3,irrelevant_context,Completeness,1.0,1.0,False,
qwen3-5-2b,run3,irrelevant_context,Informativeness,1.0,1.0,False,
